pubmed,journal,year,se,z_score
33901438,Archives of physical medicine and rehabilitation,2021,0.17587668397025755,3.679300902488984
33901438,Archives of physical medicine and rehabilitation,2021,0.16945518020692835,8.061669475870747
33891909,Archives of physical medicine and rehabilitation,2021,0.09388742412985904,-5.637912640977523
33811852,Archives of physical medicine and rehabilitation,2021,0.05187268469847705,2.356107717089826
33617862,Archives of physical medicine and rehabilitation,2021,0.06439130959549055,2.1705093940960385
33617862,Archives of physical medicine and rehabilitation,2021,0.032511465961255176,2.931586656778527
33581136,Archives of physical medicine and rehabilitation,2021,0.039664516030712985,3.52360135358612
33556352,Archives of physical medicine and rehabilitation,2021,0.29077106053948276,2.0594776522039413
33556352,Archives of physical medicine and rehabilitation,2021,0.26877260390157004,2.1662015078958077
33508336,Archives of physical medicine and rehabilitation,2021,0.16779215650740553,6.913439465482735
33508336,Archives of physical medicine and rehabilitation,2021,0.3054456962637241,2.1526576113519256
33508336,Archives of physical medicine and rehabilitation,2021,0.036216903385302875,17.722494917466204
35143745,Archives of physical medicine and rehabilitation,2022,0.4964056502692126,-2.493674992076115
35085571,Archives of physical medicine and rehabilitation,2022,0.15149473115116352,-2.242172813463899
35065941,Archives of physical medicine and rehabilitation,2022,0.11962619440225272,3.277226110342945
15209452,Journal of rehabilitation medicine,2004,0.5400974157302763,2.47664430560175
16287668,Journal of rehabilitation medicine,2005,0.155987027945326,2.111097002617566
16287668,Journal of rehabilitation medicine,2005,0.1196140139147093,2.9315701407964205
17067970,Journal of rehabilitation medicine,2006,1.2727718687507183,2.9385059746483533
16931462,Journal of rehabilitation medicine,2006,0.32473614178900195,3.685909990784738
17896054,Journal of rehabilitation medicine,2007,0.3071359194709021,-1.6631907614256956
17896049,Journal of rehabilitation medicine,2007,0.40192254100980074,2.4712517255559034
17896049,Journal of rehabilitation medicine,2007,0.38110332278373876,2.1855204957311467
17896049,Journal of rehabilitation medicine,2007,0.7906961906213353,2.565015832058771
17896049,Journal of rehabilitation medicine,2007,0.4183018525330177,4.243233301893092
17724548,Journal of rehabilitation medicine,2007,0.06986957916312375,-2.4954120123969377
17724548,Journal of rehabilitation medicine,2007,0.035653556728356794,1.8976689756173206
17468793,Journal of rehabilitation medicine,2007,0.21873730404367897,3.391910437833787
17468787,Journal of rehabilitation medicine,2007,0.4258053946774803,4.246749322067481
19020693,Journal of rehabilitation medicine,2008,0.76843407538398,-2.5585966569616043
18758673,Journal of rehabilitation medicine,2008,0.18531172689918812,3.5201505968079565
18509559,Journal of rehabilitation medicine,2008,0.6245495223382611,-2.0670645563577232
18292921,Journal of rehabilitation medicine,2008,0.39357232974654127,2.447261265529732
19774302,Journal of rehabilitation medicine,2009,0.33223746096525053,2.6662602158583724
19774302,Journal of rehabilitation medicine,2009,0.4515869759310518,1.979785003948692
19774302,Journal of rehabilitation medicine,2009,0.4904209305349595,1.7859868180660345
19543665,Journal of rehabilitation medicine,2009,0.10259166325858798,2.017845922456052
19479163,Journal of rehabilitation medicine,2009,0.3950807108923026,2.597043002975078
19479163,Journal of rehabilitation medicine,2009,0.31442168714098573,2.172550026424053
20544161,Journal of rehabilitation medicine,2010,0.27083076075144913,3.3832594544718915
20544161,Journal of rehabilitation medicine,2010,0.36981223853379586,2.1443111744318126
20544161,Journal of rehabilitation medicine,2010,0.2672084503487704,2.84723715900724
20544161,Journal of rehabilitation medicine,2010,0.29943678244284305,2.3148364569815474
20461330,Journal of rehabilitation medicine,2010,0.8003985890288797,2.8767980410707157
20411212,Journal of rehabilitation medicine,2010,0.2286959450454019,-0.9757215033695071
20411212,Journal of rehabilitation medicine,2010,0.2783615587195387,-0.8925850266158164
20111848,Journal of rehabilitation medicine,2010,0.25731225816458425,6.729782551015248
20111848,Journal of rehabilitation medicine,2010,0.47209182889055823,2.1809727560860783
20111848,Journal of rehabilitation medicine,2010,0.046510601222947603,2.049214099543834
21947179,Journal of rehabilitation medicine,2011,0.6950457915952605,2.226561943730451
21947179,Journal of rehabilitation medicine,2011,0.06692965930293139,2.724077168370843
21947179,Journal of rehabilitation medicine,2011,0.8572386191688521,2.440235443086535
21947179,Journal of rehabilitation medicine,2011,0.6486546481318436,2.5117226006513182
21732004,Journal of rehabilitation medicine,2011,0.5250963670054535,3.3278828804262637
21732004,Journal of rehabilitation medicine,2011,0.004131297428566491,-2.9222251467036795
21732004,Journal of rehabilitation medicine,2011,0.054614854423922145,2.733353485793909
21533332,Journal of rehabilitation medicine,2011,0.4055920812793575,4.111783482797877
21533332,Journal of rehabilitation medicine,2011,0.04367104483068097,-3.188887920438979
21533332,Journal of rehabilitation medicine,2011,0.13406868198260624,-4.596048311295844
21533332,Journal of rehabilitation medicine,2011,0.6200371021859982,-2.5170231632308138
21448558,Journal of rehabilitation medicine,2011,0.2952085727670596,4.964515522964961
21347505,Journal of rehabilitation medicine,2011,0.4852315118359491,1.969186711333132
21347505,Journal of rehabilitation medicine,2011,0.40449675095417914,3.3003999749890873
21347505,Journal of rehabilitation medicine,2011,0.38837411618481393,2.4602861138478684
21267528,Journal of rehabilitation medicine,2011,0.42072368045814185,4.282406443391238
22674235,Journal of rehabilitation medicine,2012,0.011978822216268134,4.864326982400849
22674235,Journal of rehabilitation medicine,2012,0.19216467839246906,2.9713033183944093
22674235,Journal of rehabilitation medicine,2012,0.18653233224089041,2.78125399056926
22674235,Journal of rehabilitation medicine,2012,0.1744502009942938,2.4001711231727434
22674235,Journal of rehabilitation medicine,2012,0.18230953718900733,-2.2791755734143786
22674235,Journal of rehabilitation medicine,2012,0.005206344803879368,-3.8804013330937974
22366821,Journal of rehabilitation medicine,2012,0.08617511725366059,2.6818846127368556
22366821,Journal of rehabilitation medicine,2012,0.42388358816445676,4.818582848229523
22366821,Journal of rehabilitation medicine,2012,0.1263294377460306,4.740276785626081
22366821,Journal of rehabilitation medicine,2012,0.10787164561735547,4.585971030709068
22124636,Journal of rehabilitation medicine,2012,0.4761889738268298,-1.9773841722779348
22124636,Journal of rehabilitation medicine,2012,0.7766638871743425,-2.13828817619385
24002375,Journal of rehabilitation medicine,2013,0.10616336663900823,3.9440189974564714
23223859,Journal of rehabilitation medicine,2013,0.016932415547161402,2.881465082966935
23052969,Journal of rehabilitation medicine,2013,0.05898999019051765,5.459968685007284
23052969,Journal of rehabilitation medicine,2013,0.04169721236978872,3.5594706860022467
23052969,Journal of rehabilitation medicine,2013,0.045046596970647015,20.780556626293126
23052969,Journal of rehabilitation medicine,2013,0.06380085747518827,22.305473477312503
25167341,Journal of rehabilitation medicine,2014,0.4081755541031279,2.134604478844615
25167341,Journal of rehabilitation medicine,2014,0.4242200256547241,2.597567328558086
25167341,Journal of rehabilitation medicine,2014,0.41315205168359315,2.3770388369371322
24819423,Journal of rehabilitation medicine,2014,0.06297450967640962,-2.580709724186306
24715249,Journal of rehabilitation medicine,2014,0.3753925104565052,2.39792037632719
24284784,Journal of rehabilitation medicine,2014,0.05436051414813986,-2.1437217451325217
24284784,Journal of rehabilitation medicine,2014,0.07700681312340237,2.5822502020244547
24240176,Journal of rehabilitation medicine,2014,0.033412528780465814,2.798062478347848
24201997,Journal of rehabilitation medicine,2014,0.7781778503171524,2.5720084417648303
24201997,Journal of rehabilitation medicine,2014,0.7046217914215526,2.226181388385976
24129640,Journal of rehabilitation medicine,2014,0.5665191517210239,2.5331615373102414
26306820,Journal of rehabilitation medicine,2015,0.2197017741558999,2.468456583516388
26306820,Journal of rehabilitation medicine,2015,0.24184679341549373,2.845332902777764
26306820,Journal of rehabilitation medicine,2015,0.00581814701950981,0
26306820,Journal of rehabilitation medicine,2015,0.012208168667764065,3.9965178641628323
26306820,Journal of rehabilitation medicine,2015,0.24512628523237476,2.5096681839201778
26306820,Journal of rehabilitation medicine,2015,0.388374116184814,-1.6837539891445357
26306820,Journal of rehabilitation medicine,2015,0.37044943523150903,4.267892693436951
26306820,Journal of rehabilitation medicine,2015,0.20825483108049717,7.934977514427044
26306820,Journal of rehabilitation medicine,2015,0.18187495098370535,3.201186401445826
25782842,Journal of rehabilitation medicine,2015,0.16619247044882074,-2.320577338855734
25782842,Journal of rehabilitation medicine,2015,0.17682326034692486,-4.269927965340582
25268547,Journal of rehabilitation medicine,2015,0.13393118845865995,12.591532808586727
25268547,Journal of rehabilitation medicine,2015,0.10001073667755705,-12.038435515255173
27670853,Journal of rehabilitation medicine,2016,0.01322068057770053,-3.087737751497459
27670853,Journal of rehabilitation medicine,2016,0.00515375186671415,-1.950100841760003
27670853,Journal of rehabilitation medicine,2016,0.018229327546465515,6.216833013622413
26843147,Journal of rehabilitation medicine,2016,0.015784541764818246,-1.9296858875306921
26667264,Journal of rehabilitation medicine,2016,0.44070218572883796,3.5451294672306304
28665444,Journal of rehabilitation medicine,2017,0.6949102696210705,1.8496898070463574
28665444,Journal of rehabilitation medicine,2017,0.009334042712319426,-1.7280167261925499
28661548,Journal of rehabilitation medicine,2017,0.2303233958015343,2.740806137583234
28657642,Journal of rehabilitation medicine,2017,0.09558506363301293,2.744824918198583
28657642,Journal of rehabilitation medicine,2017,0.25021154413564445,1.6204892124735621
28657642,Journal of rehabilitation medicine,2017,0.14116970361856804,7.782210067087011
28657642,Journal of rehabilitation medicine,2017,0.11271243680587734,0.8456048197101442
28101558,Journal of rehabilitation medicine,2017,0.06372749959091098,-2.9238488782332266
30299523,Journal of rehabilitation medicine,2018,0.6575735671527976,-2.302598231230216
29782635,Journal of rehabilitation medicine,2018,0.3095377049134026,0.993367511831826
29782635,Journal of rehabilitation medicine,2018,0.936359774348403,-0.39628323594854237
29767225,Journal of rehabilitation medicine,2018,0.2082161411523399,-2.219018453802357
29206274,Journal of rehabilitation medicine,2018,0.46842123260175733,2.1204243187129967
29206274,Journal of rehabilitation medicine,2018,0.3477818476773448,2.2671032592125475
29206274,Journal of rehabilitation medicine,2018,0.40541714416239305,-1.7097135395988574
29206274,Journal of rehabilitation medicine,2018,0.56051647381026,-2.147970417607194
29206274,Journal of rehabilitation medicine,2018,0.11989888501166725,-4.26047017631801
29068037,Journal of rehabilitation medicine,2018,0.14970727599753117,3.1394842108641834
29068037,Journal of rehabilitation medicine,2018,0.6975427319947917,-2.380830780176563
29068037,Journal of rehabilitation medicine,2018,0.02452649503900566,5.342315002531894
29068037,Journal of rehabilitation medicine,2018,0.027605506285773636,3.7804057728158487
31414140,Journal of rehabilitation medicine,2019,0.3522147000548299,2.7989087178056495
31414140,Journal of rehabilitation medicine,2019,0.8486010440959149,2.586609924163626
31414140,Journal of rehabilitation medicine,2019,0.559302278082457,3.2765492571051813
31414140,Journal of rehabilitation medicine,2019,0.3752172829459065,-2.7228256638681234
31411337,Journal of rehabilitation medicine,2019,0.26062531824795443,-0.41279646736999936
31124571,Journal of rehabilitation medicine,2019,0.4812262929224772,4.40263195505492
31124571,Journal of rehabilitation medicine,2019,0.5424486032570426,2.1728417941618945
33191436,Journal of rehabilitation medicine,2020,0.05997952611248099,10.435868227645857
33191436,Journal of rehabilitation medicine,2020,0.07608780147508108,6.501649834081762
32924065,Journal of rehabilitation medicine,2020,0.12729366482627238,-6.449500477421925
32556341,Journal of rehabilitation medicine,2020,0.12675185497838873,2.0089821834717716
